vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.402500000000128e+00	7.499586e+01
6.402800000000128e+00	7.499222e+01
6.403100000000128e+00	7.498857e+01
6.403400000000128e+00	7.498493e+01
6.403700000000129e+00	7.498128e+01
6.404000000000129e+00	7.497763e+01
6.404300000000129e+00	7.497399e+01
6.404600000000129e+00	7.497035e+01
6.404900000000129e+00	7.496671e+01
6.405200000000129e+00	7.496307e+01
6.405500000000130e+00	7.495942e+01
6.405800000000130e+00	7.495578e+01
6.406100000000130e+00	7.495213e+01
6.406400000000130e+00	7.494849e+01
6.406700000000130e+00	7.494486e+01
6.407000000000131e+00	7.494122e+01
6.407300000000131e+00	7.493757e+01
6.407600000000131e+00	7.493393e+01
6.407900000000131e+00	7.493029e+01
6.408200000000131e+00	7.492666e+01
6.408500000000132e+00	7.492301e+01
6.408800000000132e+00	7.491937e+01
6.409100000000132e+00	7.491574e+01
6.409400000000132e+00	7.491210e+01
6.409700000000132e+00	7.490846e+01
6.410000000000132e+00	7.490483e+01
6.410300000000133e+00	7.490119e+01
6.410600000000133e+00	7.489755e+01
6.410900000000133e+00	7.489390e+01
6.411200000000133e+00	7.489027e+01
6.411500000000133e+00	7.488665e+01
6.411800000000134e+00	7.488301e+01
6.412100000000134e+00	7.487937e+01
6.412400000000134e+00	7.487573e+01
6.412700000000134e+00	7.487210e+01
6.413000000000134e+00	7.486847e+01
6.413300000000135e+00	7.486484e+01
6.413600000000135e+00	7.486120e+01
6.413900000000135e+00	7.485757e+01
6.414200000000135e+00	7.485394e+01
6.414500000000135e+00	7.485029e+01
6.414800000000136e+00	7.484667e+01
6.415100000000136e+00	7.484303e+01
6.415400000000136e+00	7.483941e+01
6.415700000000136e+00	7.483578e+01
6.416000000000136e+00	7.483214e+01
6.416300000000136e+00	7.482852e+01
6.416600000000137e+00	7.482488e+01
6.416900000000137e+00	7.482125e+01
6.417200000000137e+00	7.481762e+01
