rl	V(v2s)	I(Rl)
3.771000000000027e+01	3.318075e+00	8.798926e-02
3.781000000000027e+01	3.318075e+00	8.775655e-02
3.791000000000027e+01	3.318075e+00	8.752507e-02
3.801000000000028e+01	3.318075e+00	8.729480e-02
3.811000000000028e+01	3.318076e+00	8.706575e-02
3.821000000000028e+01	3.318076e+00	8.683789e-02
3.831000000000028e+01	3.318076e+00	8.661122e-02
3.841000000000028e+01	3.318076e+00	8.638573e-02
3.851000000000028e+01	3.318076e+00	8.616141e-02
3.861000000000028e+01	3.318076e+00	8.593826e-02
3.871000000000029e+01	3.318076e+00	8.571626e-02
3.881000000000029e+01	3.318076e+00	8.549540e-02
3.891000000000029e+01	3.318077e+00	8.527568e-02
3.901000000000029e+01	3.318077e+00	8.505708e-02
3.911000000000029e+01	3.318077e+00	8.483960e-02
3.921000000000029e+01	3.318077e+00	8.462323e-02
3.931000000000029e+01	3.318077e+00	8.440796e-02
3.941000000000030e+01	3.318077e+00	8.419379e-02
3.951000000000030e+01	3.318077e+00	8.398069e-02
3.961000000000030e+01	3.318077e+00	8.376868e-02
3.971000000000030e+01	3.318078e+00	8.355773e-02
3.981000000000030e+01	3.318078e+00	8.334784e-02
3.991000000000030e+01	3.318078e+00	8.313900e-02
4.001000000000030e+01	3.318078e+00	8.293121e-02
4.011000000000030e+01	3.318078e+00	8.272446e-02
4.021000000000031e+01	3.318078e+00	8.251873e-02
4.031000000000031e+01	3.318078e+00	8.231402e-02
4.041000000000031e+01	3.318078e+00	8.211032e-02
4.051000000000031e+01	3.318078e+00	8.190764e-02
4.061000000000031e+01	3.318079e+00	8.170595e-02
4.071000000000031e+01	3.318079e+00	8.150525e-02
4.081000000000031e+01	3.318079e+00	8.130553e-02
4.091000000000032e+01	3.318079e+00	8.110679e-02
4.101000000000032e+01	3.318079e+00	8.090902e-02
4.111000000000032e+01	3.318079e+00	8.071221e-02
4.121000000000032e+01	3.318079e+00	8.051636e-02
4.131000000000032e+01	3.318079e+00	8.032145e-02
4.141000000000032e+01	3.318079e+00	8.012749e-02
4.151000000000032e+01	3.318079e+00	7.993446e-02
4.161000000000033e+01	3.318079e+00	7.974236e-02
4.171000000000033e+01	3.318080e+00	7.955118e-02
4.181000000000033e+01	3.318080e+00	7.936091e-02
4.191000000000033e+01	3.318080e+00	7.917155e-02
4.201000000000033e+01	3.318080e+00	7.898310e-02
4.211000000000033e+01	3.318080e+00	7.879554e-02
4.221000000000033e+01	3.318080e+00	7.860886e-02
4.231000000000034e+01	3.318080e+00	7.842308e-02
4.241000000000034e+01	3.318080e+00	7.823816e-02
4.251000000000034e+01	3.318080e+00	7.805412e-02
4.261000000000034e+01	3.318081e+00	7.787094e-02
4.271000000000034e+01	3.318081e+00	7.768861e-02
4.281000000000034e+01	3.318081e+00	7.750715e-02
4.291000000000034e+01	3.318081e+00	7.732652e-02
4.301000000000035e+01	3.318081e+00	7.714673e-02
4.311000000000035e+01	3.318081e+00	7.696778e-02
4.321000000000035e+01	3.318081e+00	7.678966e-02
4.331000000000035e+01	3.318081e+00	7.661236e-02
4.341000000000035e+01	3.318081e+00	7.643588e-02
4.351000000000035e+01	3.318081e+00	7.626020e-02
4.361000000000035e+01	3.318082e+00	7.608534e-02
4.371000000000036e+01	3.318082e+00	7.591127e-02
4.381000000000036e+01	3.318082e+00	7.573800e-02
4.391000000000036e+01	3.318082e+00	7.556552e-02
4.401000000000036e+01	3.318082e+00	7.539382e-02
4.411000000000036e+01	3.318082e+00	7.522289e-02
4.421000000000036e+01	3.318082e+00	7.505275e-02
4.431000000000036e+01	3.318082e+00	7.488337e-02
4.441000000000037e+01	3.318082e+00	7.471476e-02
4.451000000000037e+01	3.318082e+00	7.454690e-02
4.461000000000037e+01	3.318083e+00	7.437979e-02
4.471000000000037e+01	3.318083e+00	7.421343e-02
4.481000000000037e+01	3.318083e+00	7.404782e-02
4.491000000000037e+01	3.318083e+00	7.388294e-02
4.501000000000037e+01	3.318083e+00	7.371879e-02
4.511000000000038e+01	3.318083e+00	7.355537e-02
4.521000000000038e+01	3.318083e+00	7.339268e-02
4.531000000000038e+01	3.318083e+00	7.323071e-02
4.541000000000038e+01	3.318083e+00	7.306944e-02
