vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.394100000000122e+00	4.884860e+01
6.394400000000123e+00	4.884618e+01
6.394700000000123e+00	4.884376e+01
6.395000000000123e+00	4.884135e+01
6.395300000000123e+00	4.883892e+01
6.395600000000123e+00	4.883651e+01
6.395900000000124e+00	4.883409e+01
6.396200000000124e+00	4.883167e+01
6.396500000000124e+00	4.882925e+01
6.396800000000124e+00	4.882684e+01
6.397100000000124e+00	4.882442e+01
6.397400000000125e+00	4.882200e+01
6.397700000000125e+00	4.881958e+01
6.398000000000125e+00	4.881717e+01
6.398300000000125e+00	4.881475e+01
6.398600000000125e+00	4.881234e+01
6.398900000000125e+00	4.880992e+01
6.399200000000126e+00	4.880750e+01
6.399500000000126e+00	4.880509e+01
6.399800000000126e+00	4.880267e+01
6.400100000000126e+00	4.880025e+01
6.400400000000126e+00	4.879784e+01
6.400700000000127e+00	4.879543e+01
6.401000000000127e+00	4.879301e+01
6.401300000000127e+00	4.879060e+01
6.401600000000127e+00	4.878818e+01
6.401900000000127e+00	4.878577e+01
6.402200000000128e+00	4.878335e+01
6.402500000000128e+00	4.878094e+01
6.402800000000128e+00	4.877852e+01
6.403100000000128e+00	4.877611e+01
6.403400000000128e+00	4.877370e+01
6.403700000000129e+00	4.877129e+01
6.404000000000129e+00	4.876887e+01
6.404300000000129e+00	4.876646e+01
6.404600000000129e+00	4.876405e+01
6.404900000000129e+00	4.876164e+01
6.405200000000129e+00	4.875922e+01
6.405500000000130e+00	4.875682e+01
6.405800000000130e+00	4.875441e+01
6.406100000000130e+00	4.875200e+01
6.406400000000130e+00	4.874959e+01
6.406700000000130e+00	4.874717e+01
6.407000000000131e+00	4.874476e+01
6.407300000000131e+00	4.874235e+01
6.407600000000131e+00	4.873994e+01
6.407900000000131e+00	4.873754e+01
6.408200000000131e+00	4.873513e+01
6.408500000000132e+00	4.873271e+01
6.408800000000132e+00	4.873031e+01
6.409100000000132e+00	4.872790e+01
6.409400000000132e+00	4.872549e+01
6.409700000000132e+00	4.872308e+01
6.410000000000132e+00	4.872067e+01
6.410300000000133e+00	4.871827e+01
6.410600000000133e+00	4.871586e+01
6.410900000000133e+00	4.871345e+01
6.411200000000133e+00	4.871105e+01
6.411500000000133e+00	4.870864e+01
6.411800000000134e+00	4.870623e+01
6.412100000000134e+00	4.870382e+01
6.412400000000134e+00	4.870142e+01
6.412700000000134e+00	4.869901e+01
6.413000000000134e+00	4.869661e+01
6.413300000000135e+00	4.869420e+01
6.413600000000135e+00	4.869180e+01
6.413900000000135e+00	4.868940e+01
6.414200000000135e+00	4.868699e+01
6.414500000000135e+00	4.868458e+01
6.414800000000136e+00	4.868218e+01
6.415100000000136e+00	4.867978e+01
6.415400000000136e+00	4.867737e+01
6.415700000000136e+00	4.867497e+01
6.416000000000136e+00	4.867257e+01
6.416300000000136e+00	4.867016e+01
6.416600000000137e+00	4.866776e+01
6.416900000000137e+00	4.866536e+01
6.417200000000137e+00	4.866295e+01
